Vecadd
vector-add-performance:
           size       Triton        Torch         LEGO
0        4096.0     6.144000     5.873805     5.710037
1        8192.0    12.590164    14.559241    13.269978
2       16384.0    28.313365    25.283950    28.313365
3       32768.0    51.414226    50.776861    48.761905
4       65536.0    94.888033    95.626457   109.226669
5      131072.0   177.444035   196.607991   195.824709
6      262144.0   343.720286   342.522645   343.720286
7      524288.0   571.534884   521.506646   566.593670
8     1048576.0   856.679734   814.111783   814.111783
9     2097152.0  1029.361261  1001.824227  1028.015680
10    4194304.0  1245.339712  1255.278537  1241.408065
11    8388608.0  1451.651151  1456.692733  1453.663622
12   16777216.0  1614.850063  1617.756732  1615.679473
13   33554432.0  1702.003475  1701.543160  1701.773340
14   67108864.0  1754.327275  1751.397066  1753.349450
15  134217728.0  1776.871055  1770.371020  1776.682842
