N,Triton,Torch
1024.000000,145.312632,381.392804
1536.000000,285.145753,451.799295
2048.000000,378.137767,527.629634
2560.000000,477.783730,584.794767
3072.000000,565.371692,633.368061
3584.000000,506.302210,565.545917
4096.000000,578.577872,582.974043
4608.000000,619.129438,586.209034
5120.000000,670.102252,584.794767
5632.000000,742.490086,586.253198
6144.000000,812.989668,585.324300
6656.000000,923.709394,590.414396
7168.000000,963.258796,561.851827
7680.000000,999.193628,569.493100
8192.000000,1030.710369,571.690675
8704.000000,725.884712,583.101199
9216.000000,754.572305,590.119080
9728.000000,783.709626,594.856821
10240.000000,812.052225,589.021457
10752.000000,837.138714,579.842401
11264.000000,854.142195,584.233950
11776.000000,875.420368,589.836836
12288.000000,901.268618,599.566974
12800.000000,920.535626,601.027121
13312.000000,938.463042,601.513047
13824.000000,955.266481,604.018434
14336.000000,981.112794,591.906232
14848.000000,983.718444,597.342257
15360.000000,988.642341,605.817607
15872.000000,1003.514937,603.554839
